city,day,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,uv,text,icon
Rawicz,2019-12-15,8.2,2.6,6.1,29.9,2.3,7.8,78.0,0.0,Patchy light rain,//cdn.weatherapi.com/weather/64x64/day/293.png
Krotoszyn,2018-01-10,4.8,1.9,3.5,18.7,7.8,7.5,88.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Krotoszyn,2018-01-05,8.6,4.1,7.1,25.9,1.4,8.9,78.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Rawicz,2019-07-15,22.4,11.9,19.6,13.0,0.5,9.9,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Belchatow,2017-05-16,19.8,10.5,17.1,10.8,2.3,9.8,76.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Krotoszyn,2020-07-12,19.7,11.0,17.5,17.6,0.7,9.8,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Krotoszyn,2020-07-07,16.8,12.4,15.3,23.4,0.2,10.0,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Belchatow,2018-05-19,17.8,7.7,15.2,18.4,0.0,8.0,79.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Belchatow,2017-05-03,14.0,6.1,11.4,15.8,0.0,10.0,80.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Kutno,2019-05-15,12.9,6.4,10.7,25.2,12.8,7.9,91.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Pleszew,2018-11-25,7.0,2.5,4.7,9.0,0.0,8.0,90.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Rawicz,2020-03-04,5.7,0.4,4.1,22.7,0.7,9.6,82.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
